onset	duration	trial_type	value	sample
4.969	0.0	response/onset	2048	4969
6.508	0.0	stim/rt_meas	90	6508
7.183	0.0	response/onset	2048	7183
8.84	0.0	stim/rt_meas	90	8840
9.363	0.0	response/onset	2048	9363
10.906	0.0	stim/rt_meas	90	10906
11.273	0.0	response/onset	2048	11273
12.789	0.0	stim/rt_meas	90	12789
13.149	0.0	response/onset	2048	13149
14.655	0.0	stim/rt_meas	90	14655
15.003	0.0	response/onset	2048	15003
16.504	0.0	stim/rt_meas	90	16504
16.901	0.0	response/onset	2048	16901
18.403	0.0	stim/rt_meas	90	18403
18.773	0.0	response/onset	2048	18773
20.286	0.0	stim/rt_meas	90	20286
20.654	0.0	response/onset	2048	20654
22.135	0.0	stim/rt_meas	90	22135
22.451	0.0	response/onset	2048	22451
23.951	0.0	stim/rt_meas	90	23951
24.317	0.0	response/onset	2048	24317
25.817	0.0	stim/rt_meas	90	25817
26.15	0.0	response/onset	2048	26150
27.65	0.0	stim/rt_meas	90	27650
28.031	0.0	response/onset	2048	28031
29.516	0.0	stim/rt_meas	90	29516
29.838	0.0	response/onset	2048	29838
31.332	0.0	stim/rt_meas	90	31332
31.685	0.0	response/onset	2048	31685
33.164	0.0	stim/rt_meas	90	33164
33.357	0.0	response/onset	2048	33357
34.88	0.0	stim/rt_meas	90	34880
35.257	0.0	response/onset	2048	35257
36.763	0.0	stim/rt_meas	90	36763
37.148	0.0	response/onset	2048	37148
38.679	0.0	stim/rt_meas	90	38679
39.003	0.0	response/onset	2048	39003
40.495	0.0	stim/rt_meas	90	40495
40.825	0.0	response/onset	2048	40825
42.311	0.0	stim/rt_meas	90	42311
42.677	0.0	response/onset	2048	42677
48.905	0.0	response/onset	2048	48905
49.191	0.0	trial_start	1	49191
51.208	0.0	stim/1	11	51208
51.398	0.0	stim/2	12	51398
52.598	0.0	stim/3	13	52598
53.398	0.0	stim/4	14	53398
55.499	0.0	rp_on/3_item/long/3	233	55499
61.618	0.0	response/onset/1	5001	61618
61.785	0.0	response/offset/1	21	61785
62.452	0.0	response/onset/2	5002	62452
62.611	0.0	response/offset/2	22	62611
63.51	0.0	response/onset/3	5003	63510
63.713	0.0	response/offset/3	23	63713
64.54	0.0	response/onset/4	5004	64540
64.662	0.0	response/offset/4	24	64662
65.169	0.0	feedback	29	65169
66.253	0.0	trial_end	30	66253
66.285	0.0	trial_start	1	66285
68.301	0.0	stim/1	11	68301
68.493	0.0	stim/2	12	68493
70.094	0.0	stim/3	13	70094
71.294	0.0	stim/4	14	71294
72.594	0.0	rp_on/3_item/long/6	236	72594
78.424	0.0	response/onset/1	5001	78424
78.58	0.0	response/offset/1	21	78580
79.748	0.0	response/onset/2	5002	79748
79.962	0.0	response/offset/2	22	79962
80.658	0.0	response/onset/3	5003	80658
80.812	0.0	response/offset/3	23	80812
81.874	0.0	response/onset/4	5004	81874
82.019	0.0	response/offset/4	24	82019
82.527	0.0	feedback	29	82527
83.629	0.0	trial_end	30	83629
83.662	0.0	trial_start	1	83662
85.678	0.0	stim/1	11	85678
85.882	0.0	stim/2	12	85882
86.682	0.0	stim/3	13	86682
87.882	0.0	stim/4	14	87882
89.983	0.0	rp_on/3_item/long/1	231	89983
95.644	0.0	response/onset/1	5001	95644
95.802	0.0	response/offset/1	21	95802
96.767	0.0	response/onset/2	5002	96767
96.89	0.0	response/offset/2	22	96890
97.628	0.0	response/onset/3	5003	97628
