onset	duration	trial_type	value	sample
5.544	0.0	response/onset	2048	5544
10.178	0.0	response/onset	2048	10178
10.371	0.0	trial_start	1	10371
12.387	0.0	stim/1	11	12387
12.581	0.0	stim/2	12	12581
13.292	0.0	stim/3	13	13292
13.647	0.0	stim/4	14	13647
14.694	0.0	rp_on/3_item/short/5	215	14694
19.826	0.0	response/onset/1	5001	19826
20.049	0.0	response/offset/1	21	20049
20.386	0.0	response/onset/2	5002	20386
20.547	0.0	response/offset/2	22	20547
20.725	0.0	response/onset/3	5003	20725
20.9	0.0	response/offset/3	23	20900
21.071	0.0	response/onset/4	5004	21071
21.21	0.0	response/offset/4	24	21210
21.719	0.0	feedback	29	21719
22.785	0.0	trial_end	30	22785
22.8	0.0	trial_start	1	22800
24.816	0.0	stim/1	11	24816
25.004	0.0	stim/2	12	25004
27.905	0.0	rp_on/1_item/medium	120	27905
32.785	0.0	response/onset/1	5001	32785
32.95	0.0	response/offset/1	21	32950
33.899	0.0	response/onset/2	5002	33899
34.091	0.0	response/offset/2	22	34091
34.6	0.0	feedback	29	34600
35.63	0.0	trial_end	30	35630
35.645	0.0	trial_start	1	35645
37.661	0.0	stim/1	11	37661
37.862	0.0	stim/2	12	37862
38.663	0.0	stim/3	13	38663
40.262	0.0	stim/4	14	40262
41.963	0.0	rp_on/3_item/long/2	232	41963
47.078	0.0	response/onset/1	5001	47078
47.24	0.0	response/offset/1	21	47240
48.025	0.0	response/onset/2	5002	48025
48.183	0.0	response/offset/2	22	48183
49.141	0.0	response/onset/3	5003	49141
49.311	0.0	response/offset/3	23	49311
50.027	0.0	response/onset/4	5004	50027
50.161	0.0	response/offset/4	24	50161
50.669	0.0	feedback	29	50669
51.74	0.0	trial_end	30	51740
51.755	0.0	trial_start	1	51755
53.771	0.0	stim/1	11	53771
53.968	0.0	stim/2	12	53968
56.869	0.0	rp_on/1_item/medium	120	56869
61.98	0.0	response/onset/1	5001	61980
62.137	0.0	response/offset/1	21	62137
63.092	0.0	response/onset/2	5002	63092
63.234	0.0	response/offset/2	22	63234
63.742	0.0	feedback	29	63742
64.785	0.0	trial_end	30	64785
64.801	0.0	trial_start	1	64801
66.817	0.0	stim/1	11	66817
67.011	0.0	stim/2	12	67011
69.915	0.0	rp_on/1_item/medium	120	69915
75.475	0.0	response/onset/1	5001	75475
75.621	0.0	response/offset/1	21	75621
76.576	0.0	response/onset/2	5002	76576
76.708	0.0	response/offset/2	22	76708
77.219	0.0	feedback	29	77219
78.267	0.0	trial_end	30	78267
78.295	0.0	trial_start	1	78295
80.311	0.0	stim/1	11	80311
80.516	0.0	stim/2	12	80516
81.049	0.0	stim/3	13	81049
81.849	0.0	stim/4	14	81849
83.419	0.0	rp_on/3_item/medium/1	221	83419
88.522	0.0	response/onset/1	5001	88522
88.663	0.0	response/offset/1	21	88663
89.023	0.0	response/onset/2	5002	89023
89.159	0.0	response/offset/2	22	89159
90.215	0.0	response/onset/3	5003	90215
90.336	0.0	response/offset/3	23	90336
90.699	0.0	response/onset/4	5004	90699
90.823	0.0	response/offset/4	24	90823
91.332	0.0	feedback	29	91332
92.407	0.0	trial_end	30	92407
92.423	0.0	trial_start	1	92423
94.439	0.0	stim/1	11	94439
94.64	0.0	stim/2	12	94640
95.707	0.0	stim/3	13	95707
96.506	0.0	stim/4	14	96506
97.541	0.0	rp_on/3_item/medium/6	226	97541
102.595	0.0	response/onset/1	5001	102595
102.764	0.0	response/offset/1	21	102764
103.07	0.0	response/onset/2	5002	103070
103.219	0.0	response/offset/2	22	103219
104.038	0.0	response/onset/3	5003	104038
104.182	0.0	response/offset/3	23	104182
