onset	duration	trial_type	value	sample
2.577	0.0	response/onset	2048	2577
4.098	0.0	stim/rt_meas	90	4098
4.522	0.0	response/onset	2048	4522
6.063	0.0	stim/rt_meas	90	6063
6.456	0.0	response/onset	2048	6456
7.946	0.0	stim/rt_meas	90	7946
8.353	0.0	response/onset	2048	8353
9.862	0.0	stim/rt_meas	90	9862
10.214	0.0	response/onset	2048	10214
11.711	0.0	stim/rt_meas	90	11711
12.084	0.0	response/onset	2048	12084
13.577	0.0	stim/rt_meas	90	13577
13.858	0.0	response/onset	2048	13858
15.443	0.0	stim/rt_meas	90	15443
15.62	0.0	response/onset	2048	15620
17.093	0.0	stim/rt_meas	90	17093
17.447	0.0	response/onset	2048	17447
18.909	0.0	stim/rt_meas	90	18909
19.088	0.0	response/onset	2048	19088
20.591	0.0	stim/rt_meas	90	20591
20.935	0.0	response/onset	2048	20935
22.424	0.0	stim/rt_meas	90	22424
22.773	0.0	response/onset	2048	22773
24.323	0.0	stim/rt_meas	90	24323
24.635	0.0	response/onset	2048	24635
26.139	0.0	stim/rt_meas	90	26139
26.602	0.0	response/onset	2048	26602
28.088	0.0	stim/rt_meas	90	28088
28.3	0.0	response/onset	2048	28300
28.302	0.0	response/onset	2048	28302
29.804	0.0	stim/rt_meas	90	29804
30.236	0.0	response/onset	2048	30236
31.754	0.0	stim/rt_meas	90	31754
31.99	0.0	response/onset	2048	31990
33.503	0.0	stim/rt_meas	90	33503
33.917	0.0	response/onset	2048	33917
35.419	0.0	stim/rt_meas	90	35419
35.593	0.0	response/onset	2048	35593
37.085	0.0	stim/rt_meas	90	37085
37.464	0.0	response/onset	2048	37464
38.968	0.0	stim/rt_meas	90	38968
39.281	0.0	response/onset	2048	39281
46.325	0.0	response/onset	2048	46325
46.515	0.0	trial_start	1	46515
48.531	0.0	stim/1	11	48531
48.735	0.0	stim/2	12	48735
49.802	0.0	stim/3	13	49802
50.602	0.0	stim/4	14	50602
51.635	0.0	rp_on/3_item/medium/6	226	51635
56.456	0.0	response/onset/1	5001	56456
56.599	0.0	response/offset/1	21	56599
57.383	0.0	response/onset/2	5002	57383
57.514	0.0	response/offset/2	22	57514
58.408	0.0	response/onset/3	5003	58408
58.58	0.0	response/offset/3	23	58580
58.864	0.0	response/onset/4	5004	58864
59.056	0.0	response/offset/4	24	59056
59.564	0.0	feedback	29	59564
60.677	0.0	trial_end	30	60677
60.709	0.0	trial_start	1	60709
62.725	0.0	stim/1	11	62725
62.917	0.0	stim/2	12	62917
65.018	0.0	rp_on/1_item/short	110	65018
70.013	0.0	response/onset/1	5001	70013
70.16	0.0	response/offset/1	21	70160
71.739	0.0	response/onset/2	5002	71739
71.902	0.0	response/offset/2	22	71902
72.41	0.0	feedback	29	72410
73.455	0.0	trial_end	30	73455
73.488	0.0	trial_start	1	73488
75.503	0.0	stim/1	11	75503
75.707	0.0	stim/2	12	75707
77.809	0.0	rp_on/1_item/short	110	77809
82.454	0.0	response/onset/1	5001	82454
82.592	0.0	response/offset/1	21	82592
84.213	0.0	response/onset/2	5002	84213
84.388	0.0	response/offset/2	22	84388
84.896	0.0	feedback	29	84896
85.933	0.0	trial_end	30	85933
85.966	0.0	trial_start	1	85966
87.982	0.0	stim/1	11	87982
88.191	0.0	stim/2	12	88191
88.992	0.0	stim/3	13	88992
90.592	0.0	stim/4	14	90592
92.292	0.0	rp_on/3_item/long/2	232	92292
97.504	0.0	response/onset/1	5001	97504
97.625	0.0	response/offset/1	21	97625
98.546	0.0	response/onset/2	5002	98546
98.677	0.0	response/offset/2	22	98677
99.486	0.0	response/onset/3	5003	99486
99.622	0.0	response/offset/3	23	99622
100.423	0.0	response/onset/4	5004	100423
100.556	0.0	response/offset/4	24	100556
101.064	0.0	feedback	29	101064
102.161	0.0	trial_end	30	102161
102.193	0.0	trial_start	1	102193
104.209	0.0	stim/1	11	104209
104.413	0.0	stim/2	12	104413
108.513	0.0	rp_on/1_item/long	130	108513
113.329	0.0	response/onset/1	5001	113329
113.48	0.0	response/offset/1	21	113480
116.724	0.0	response/onset/2	5002	116724
116.839	0.0	response/offset/2	22	116839
117.347	0.0	feedback	29	117347
118.388	0.0	trial_end	30	118388
118.42	0.0	trial_start	1	118420
120.437	0.0	stim/1	11	120437
120.633	0.0	stim/2	12	120633
124.734	0.0	rp_on/1_item/long	130	124734
129.639	0.0	response/onset/1	5001	129639
129.775	0.0	response/offset/1	21	129775
133.284	0.0	response/onset/2	5002	133284
133.45	0.0	response/offset/2	22	133450
133.958	0.0	feedback	29	133958
134.998	0.0	trial_end	30	134998
135.031	0.0	trial_start	1	135031
137.047	0.0	stim/1	11	137047
137.242	0.0	stim/2	12	137242
140.142	0.0	rp_on/1_item/medium	120	140142
